Adresse;Art;Datum;Preis;Preis2;price
"Garage Lutz AG

Sarganserstr. 14, 7310 Bad Ragaz";Bleifrei;15.12.2022;1,800 sFr;1,800 sFr;1
"Socar Fuchsberg Nord

Fuchsberg Nord / A3, 8832 Wollerau";Bleifrei;14.12.2022;1,800 sFr;1,800 sFr;1
"Hubrol AG

Klausenstrasse, 6465 Unterschächen";Bleifrei;15.12.2022;1,800 sFr;1,800 sFr;1
"Eni

Masanserstr. 60, 7000 Chur";Bleifrei;13.12.2022;1,800 sFr;1,800 sFr;1
"Agrola

Staatsstr., 8890 Flums";Bleifrei;15.12.2022;1,800 sFr;1,800 sFr;1
"Tamoil

Fürstenlandstr. 175, 9000 St. Gallen";Bleifrei;24.09.2021;1,800 sFr;1,980 sFr;1
"Tamoil

Rte de Montana 42, 3968 Veyras";Bleifrei;25.10.2021;1,800 sFr;1,890 sFr;1
"Eni

Neue Jonastr. 128, 8640 Rapperswil-Jona";Bleifrei;17.12.2022;1,800 sFr;1,800 sFr;1
"Eni

Zürichstr. 84, 8640 Rapperswil-Jona";Bleifrei;10.12.2022;1,800 sFr;1,800 sFr;1
"Agrola

Rickenstrasse, 8732 Neuhaus";Bleifrei;15.12.2022;1,800 sFr;1,800 sFr;1
"Socar

Via Maestri Comacini 10, 6830 Chiasso";Bleifrei;03.04.2013;1,800 sFr;;1
"Gustoil

Rue Industrielle , 2740 Moutier";Bleifrei;26.10.2022;1,799 sFr;1,769 sFr;1
"Tamoil

Ueberlandstr. 224, 8600 Dübendorf";Bleifrei;22.12.2021;1,799 sFr;1,929 sFr;1
"Gustoil

Route principale, 2830 Courrendlin";Bleifrei;26.10.2022;1,799 sFr;1,769 sFr;1
"Tiefenbach Garage AG

Frauenfelderstr. 39, 8252 Schlatt TG";Bleifrei;29.05.2011;1,795 sFr;;1
"Agrola

Hiltistr. 19, 8444 Henggart";Bleifrei;25.08.2013;1,795 sFr;;1
"Garage J.Stalder

Dorfstrasse 18, 6264 Pfaffnau";Bleifrei;04.02.2013;1,795 sFr;;1
"Avia

Schaffhauserstr. 81, 8302 Kloten";Bleifrei;01.06.2013;1,795 sFr;;1
"Niederberger AG

Hauptstr. 58, 8832 Wollerau";Bleifrei;03.12.2022;1,795 sFr;1,785 sFr;1
"Avia

Zürcherstr. 18, 4332 Stein AG";Bleifrei;06.06.2012;1,795 sFr;;1
"Landi

ch Longeraie, 1350 Orbe";Bleifrei;20.01.2022;1,795 sFr;1,895 sFr;1
"Coop Pronto

rue du Clos 16, 1800 Vevey";Bleifrei;25.07.2014;1,790 sFr;;1
"Hubrol AG

Umfahrungsstr.25, 6467 Schattdorf";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Socar

Stelleweg 6, 7000 Chur";Bleifrei;19.12.2022;1,790 sFr;1,790 sFr;1
"Bosch Service & Garage Amstad

Via Charels Suot, 7502 Bever";Bleifrei;19.12.2022;1,790 sFr;1,790 sFr;1
"Righetti

via Cantonale 3, 6900 Lugano";Bleifrei;12.12.2022;1,790 sFr;1,790 sFr;1
"Shell

Grand-Rue 60, 2710 Tavannes";Bleifrei;26.10.2022;1,790 sFr;1,760 sFr;1
"Agrola

route Cantonale 1, 2733 Pontenet";Bleifrei;26.10.2022;1,790 sFr;1,760 sFr;1
"Merillat

Grand Rue 68, 2735 Malleray";Bleifrei;26.10.2022;1,790 sFr;1,760 sFr;1
"Jubin

rue Principale 28, 2735 Bévilard";Bleifrei;26.10.2022;1,790 sFr;1,760 sFr;1
"Merillat

Rue Principale 8, 2736 Sorvilier";Bleifrei;26.10.2022;1,790 sFr;1,760 sFr;1
Wylenstrasse 3, 6440 Brunnen;Bleifrei;03.12.2022;1,790 sFr;1,780 sFr;1
"Migrol

Sandgasse, 5734 Reinach AG";Bleifrei;04.12.2022;1,790 sFr;1,780 sFr;1
"Hergol

Seetalstr. 6, 5708 Birrwil";Bleifrei;04.12.2022;1,790 sFr;1,780 sFr;1
"station Migrol

ch. Closalet 7, 1023 Crissier";Bleifrei;14.12.2022;1,790 sFr;1,790 sFr;1
"Hergol

Löwenplatz 3, 5712 Beinwil am See";Bleifrei;04.12.2022;1,790 sFr;1,780 sFr;1
Rheinstrasse 34c, 4302 Augst BL;Bleifrei;03.02.2013;1,790 sFr;;1
"Coop

Rue du Bruye 65, 2732 Reconvilier";Bleifrei;31.10.2022;1,790 sFr;1,760 sFr;1
"Station Migrol

Rte de Reconvilier 13, 2710 Tavannes";Bleifrei;26.10.2022;1,790 sFr;1,760 sFr;1
"BP service Renens

route de Renens, 1030 Bussigny-Lausanne";Bleifrei;16.12.2022;1,790 sFr;1,790 sFr;1
"BP service Bussigny

rte de Crissier 6, 1030 Bussigny-Lausanne";Bleifrei;16.12.2022;1,790 sFr;1,790 sFr;1
"Agrola

Carignan 2, 1565 Vallon";Bleifrei;23.06.2014;1,790 sFr;;1
"Garage Christian Catillaz Sàrl

Route de Payerne 15, 1470 Estavayer-le-Lac";Bleifrei;23.06.2014;1,790 sFr;;1
"BP

Autobahnraststätte A1, 8310 Kemptthal";Bleifrei;19.09.2021;1,790 sFr;1,970 sFr;1
"Agrola

Route de la Scie 7, 1470 Estavayer-le-Lac";Bleifrei;23.06.2014;1,790 sFr;;1
"Landi Jungfrau AG

Unteren Bönigstr. 50, 3800 Interlaken";Bleifrei;20.07.2014;1,790 sFr;;1
"BP

Helblingstr. 1, 4852 Rothrist";Bleifrei;17.12.2022;1,790 sFr;1,790 sFr;1
"Avia

Helblingstr. 2, 4852 Rothrist";Bleifrei;17.12.2022;1,790 sFr;1,790 sFr;1
"Hubrol AG

Gotthardstr. 70, 6460 Altdorf UR";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Shell

Zürichstr. 89, 8600 Dübendorf";Bleifrei;25.10.2021;1,790 sFr;1,880 sFr;1
"Voegtlin-Meyer

Zürcherstr 27, 5210 Windisch";Bleifrei;10.12.2022;1,790 sFr;1,790 sFr;1
"Ruedi Rüssel

Zürcherstr.152, 5432 Neuenhof";Bleifrei;10.12.2022;1,790 sFr;1,790 sFr;1
"Coop Pronto

ch. de Saugy 1, 1023 Crissier";Bleifrei;14.12.2022;1,790 sFr;1,790 sFr;1
"BP

Bruchstr. 3, 6000 Luzern";Bleifrei;30.10.2021;1,790 sFr;1,880 sFr;1
"Coop Pronto

Rappagugg 2, 7205 Zizers";Bleifrei;14.12.2022;1,790 sFr;1,790 sFr;1
"Agip

Route de Chippis, 1950 Sion";Bleifrei;12.07.2012;1,790 sFr;;1
"Migrol Service

Kantonsstrasse, 3940 Steg VS";Bleifrei;27.11.2022;1,790 sFr;1,780 sFr;1
"Shell

Neue Winterthurerstr. 15, 8305 Dietlikon";Bleifrei;22.12.2021;1,790 sFr;1,920 sFr;1
"BP

Rütistr. 163, 8645 Rapperswil-Jona";Bleifrei;17.12.2022;1,790 sFr;1,790 sFr;1
"Vögtlin-Meyer

Vogelsangstr. 13 A, 5412 Gebenstorf";Bleifrei;10.12.2022;1,790 sFr;1,790 sFr;1
"Strueby Automobile AG

Schwyzerstr. 11, 6440 Brunnen";Bleifrei;03.12.2022;1,790 sFr;1,780 sFr;1
"BP Service

rue Champ-Lovats 1, 1400 Yverdon-les-Bains";Bleifrei;02.07.2021;1,790 sFr;1,970 sFr;1
"Migrol Auto Service

Mythen Center , 6438 Ibach";Bleifrei;27.11.2022;1,790 sFr;1,780 sFr;1
"BP

Gotthardstr. 109, 6438 Ibach";Bleifrei;27.11.2022;1,790 sFr;1,780 sFr;1
"Coop

Bahnhofstr. 156, 6423 Seewen SZ";Bleifrei;27.11.2022;1,790 sFr;1,780 sFr;1
"Migrol

Kantonsstr. 110 , 8863 Buttikon SZ";Bleifrei;04.12.2022;1,790 sFr;1,780 sFr;1
"Kleintal Garage

Kantonsstr., 8765 Engi";Bleifrei;22.11.2022;1,790 sFr;1,730 sFr;1
"Migrol

Neue Aarburgerstr. 9, 4852 Rothrist";Bleifrei;17.12.2022;1,790 sFr;1,790 sFr;1
"Garage Gut

Sarganserstr. 28, 7310 Bad Ragaz";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Shell

Abernstr. 11, 8632 Tann";Bleifrei;19.12.2022;1,790 sFr;1,790 sFr;1
"BP

Hauptstr. 61, 8632 Tann";Bleifrei;19.12.2022;1,790 sFr;1,790 sFr;1
"Coop

Tardis , 7302 Landquart";Bleifrei;19.12.2022;1,790 sFr;1,790 sFr;1
"AGROLA-Tankstelle Dürnten

Kreuzstr. 10, 8635 Dürnten";Bleifrei;17.12.2022;1,790 sFr;1,790 sFr;1
"Avia

Bahnhofsträssli 2, 7203 Trimmis";Bleifrei;13.12.2022;1,790 sFr;1,790 sFr;1
"Hubrol AG

Gotthardstr. 169, 6472 Erstfeld";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Avia

Masanserstr. 133, 7000 Chur";Bleifrei;19.12.2022;1,790 sFr;1,790 sFr;1
"Hubrol AG

Bahnhofstr. 4, 6460 Altdorf UR";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Hubrol AG

Bahnhofplatz, 6460 Altdorf UR";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Garage Kuhn

Grossfeldstr. 81 , 7320 Sargans";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Coray

Via Val , 7031 Laax GR";Bleifrei;16.01.2022;1,790 sFr;1,920 sFr;1
"Landi

Dorfstrasse 18, 8523 Hagenbuch ZH";Bleifrei;17.09.2013;1,790 sFr;;1
"Lenzlinger Söhne AG

Grossrietstr. 7, 8606 Nänikon";Bleifrei;27.11.2022;1,790 sFr;1,780 sFr;1
"Tamoil Station

rte Lausanne 19, 1110 Morges";Bleifrei;09.12.2022;1,790 sFr;1,790 sFr;1
"Avia Tankstelle

Zürcherstr. 34, 4310 Rheinfelden";Bleifrei;21.07.2012;1,790 sFr;;1
"Lenzlinger Söhne AG

Sonnenbergstr. 11, 8610 Uster";Bleifrei;27.11.2022;1,790 sFr;1,780 sFr;1
"Spitzmeilen-Garage AG

Statsstrasse, 8890 Flums";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Coop Pronto

Neue Aarburgerstr. 2a, 4852 Rothrist";Bleifrei;17.12.2022;1,790 sFr;1,790 sFr;1
"Agrola

Dorfstr. 21, 9525 Lenggenwil";Bleifrei;26.11.2022;1,790 sFr;1,780 sFr;1
"Agrola

Bodenhof 5, 6014 Littau";Bleifrei;27.11.2022;1,790 sFr;1,780 sFr;1
"Avia

Zürcher. 29, 8730 Uznach";Bleifrei;17.12.2022;1,790 sFr;1,790 sFr;1
"Bayard AG

Zürcherstr. 71, 8730 Uznach";Bleifrei;17.12.2022;1,790 sFr;1,790 sFr;1
"Migrol

Zugerstr. 2, 6340 Sihlbrugg";Bleifrei;10.12.2022;1,790 sFr;1,790 sFr;1
"Migrol

Schlagstr. 99, 6430 Schwyz";Bleifrei;27.11.2022;1,790 sFr;1,780 sFr;1
"Midland

Hauptstr. 10, 6418 Rothenthurm";Bleifrei;27.11.2022;1,790 sFr;1,780 sFr;1
"LANDI 

Dorfstr. 17, 8733 Eschenbach";Bleifrei;19.12.2022;1,790 sFr;1,790 sFr;1
"Autogesellschaft Sissach-Eptingen

Hauptstr. 11, 4458 Eptingen";Bleifrei;19.12.2022;1,790 sFr;1,790 sFr;1
"Shell

St.Gallerstr. 77, 8716 Schmerikon";Bleifrei;17.12.2022;1,790 sFr;1,790 sFr;1
"Garage Klauser AG

Sarganserstr. 9, 8880 Walenstadt";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Oil

Spitalstr. 72, 8630 Rüti ZH";Bleifrei;10.12.2022;1,790 sFr;1,790 sFr;1
"terzol

Bahnhofstr. 56, 7323 Wangs";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Coop

Grossfeldstr. 63 , 8887 Mels";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Avia

Neue Wangserstr. 8, 7320 Sargans";Bleifrei;15.12.2022;1,790 sFr;1,790 sFr;1
"Station Auage Engelbogen AG

Industriestrasse 1, 7204 Untervaz";Bleifrei;13.12.2022;1,790 sFr;1,790 sFr;1
"Coop

Steinbislin 3, 6423 Seewen SZ";Bleifrei;27.11.2022;1,790 sFr;1,780 sFr;1
"Avia

Zürcherstr. 2, 8855 Wangen SZ";Bleifrei;17.12.2022;1,789 sFr;1,789 sFr;1
"Autobahntankstelle A2 Pratteln Nord

Götzisbodenweg 22, 4133 Pratteln";Bleifrei;11.11.2020;1,789 sFr;2,289 sFr;1
"AGROLA-Tankstelle HERRLIBERG

Humrigenstr. 18, 8704 Herrliberg";Bleifrei;16.12.2022;1,785 sFr;1,785 sFr;1
"BP

Avenue de France 52, 3960 Sierre";Bleifrei;25.10.2021;1,780 sFr;1,870 sFr;1
"MINI PRIX

Grand-Rue 16, 1623 Semsales";Bleifrei;25.07.2014;1,780 sFr;;1
"Garage Des Ponts Vaulruz

Grand-Rue, 1627 Vaulruz";Bleifrei;25.07.2014;1,780 sFr;;1
"Bellinzona-Sud

I Mundasc, 6513 Monte Carasso";Bleifrei;16.06.2020;1,780 sFr;2,280 sFr;1
"Agrola

Oberdorfstr. 61, 8853 Lachen SZ";Bleifrei;10.12.2022;1,780 sFr;1,780 sFr;1
"Coop

Birseckstr. 95, 4144 Arlesheim";Bleifrei;22.11.2014;1,780 sFr;;1
"Agrola

Hämmerli 15, 8855 Wangen SZ";Bleifrei;17.12.2022;1,780 sFr;1,780 sFr;1
"Coop

Sihlbruggstr. 152, 6340 Baar";Bleifrei;10.12.2022;1,780 sFr;1,780 sFr;1
"Agrola

Glockentalstr. 50, 3612 Steffisburg";Bleifrei;30.10.2021;1,780 sFr;1,870 sFr;1
"Migrol

im Hanselmaa 2, 8132 Egg b. Zürich";Bleifrei;22.07.2021;1,780 sFr;1,930 sFr;1
"Eni

Via Giacomo e Filippo Ciani 36, 6900 Lugano";Bleifrei;11.10.2021;1,780 sFr;1,930 sFr;1
"Avia

Surseestrasse, 6206 Neuenkirch";Bleifrei;07.05.2014;1,780 sFr;;1
"Ben S. Shop & Change

Rte de Saint-Julien 274, 1258 Perly-Certoux";Bleifrei;19.12.2022;1,780 sFr;1,780 sFr;1
"Agrola

Schellenrain 11, 6208 Oberkirch LU";Bleifrei;06.05.2014;1,780 sFr;;1
"Avia

Axenstrasse, 6452 Sisikon";Bleifrei;19.12.2022;1,780 sFr;1,780 sFr;1
"Socar

Via Trevano 69, 6900 Lugano";Bleifrei;11.10.2021;1,780 sFr;1,930 sFr;1
"Avia

Gotthardstr. 224, 6423 Seewen SZ";Bleifrei;27.11.2022;1,780 sFr;1,770 sFr;1
"Häusermann

Rapperswilerstr. 66, 8620 Wetzikon ZH";Bleifrei;10.12.2022;1,780 sFr;1,780 sFr;1
"Coop Pronto

Route de Sion 115, 3960 Sierre";Bleifrei;25.10.2021;1,780 sFr;1,870 sFr;1
"Migrol Service

Route de Sion 111, 3960 Sierre";Bleifrei;25.10.2021;1,780 sFr;1,870 sFr;1
"Shell

Hauptstr., 6424 Lauerz";Bleifrei;02.06.2012;1,780 sFr;;1
"Jubin

Route de Delémont 91, 2802 Develier";Bleifrei;09.01.2022;1,780 sFr;1,910 sFr;1
"Avia

Hauptstr. 75b, 9434 Au SG";Bleifrei;04.10.2021;1,780 sFr;1,930 sFr;1
"Eni

Bahnhofstr. 11, 8717 Benken SG";Bleifrei;14.12.2022;1,780 sFr;1,780 sFr;1
"Migrol

Kantonsstr. 152 , 7205 Zizers";Bleifrei;19.12.2022;1,780 sFr;1,780 sFr;1
"Migrol

Bernstr. 205, 4852 Rothrist";Bleifrei;17.12.2022;1,780 sFr;1,780 sFr;1
"A3 Shop and Go

Zugerstrasse 231, 8810 Horgen";Bleifrei;10.12.2022;1,780 sFr;1,780 sFr;1
"Migrol

Eichfeld 1, 5643 Sins";Bleifrei;08.11.2021;1,780 sFr;1,870 sFr;1
"Tamoil 

Stanserstr. 11, 6373 Ennetbürgen";Bleifrei;13.10.2014;1,780 sFr;;1
"Migrol

MMM Pizolpark , 8887 Mels";Bleifrei;15.12.2022;1,780 sFr;1,780 sFr;1
"Agrola-Prima

Reussgasse 2, 5703 Seon";Bleifrei;04.12.2022;1,780 sFr;1,770 sFr;1
"TCS Service Center

Zürcher. 55, 8604 Volketswil";Bleifrei;22.12.2021;1,779 sFr;1,909 sFr;1
"Tankstelle Svabic

Untere Hanegg, 8810 Horgen";Bleifrei;08.11.2021;1,779 sFr;1,869 sFr;1
"Marché Brügg AG

Poststr. 13, 2555 Brügg BE";Bleifrei;27.09.2022;1,779 sFr;1,739 sFr;1
"Talacker Garage A. Kälin

Talackerstr. 91, 8152 Glattbrugg";Bleifrei;12.09.2011;1,779 sFr;;1
"Shell

Austrasse, 9490 Vaduz";Bleifrei;23.08.2013;1,775 sFr;;1
"Galeazzo Mimmo 

Hauptstr. 48, 8416 Flaach";Bleifrei;20.06.2011;1,775 sFr;;1
"BP-Tankstelle

Rüeggisingerstrasse 61, 6020 Emmenbrücke";Bleifrei;10.12.2022;1,770 sFr;1,770 sFr;1
"Migrol Service

Hauptstrasse 93, 5737 Menziken";Bleifrei;04.12.2022;1,770 sFr;1,760 sFr;1
"Mini Prix

Route de Tavannes 44, 2732 Reconvilier";Bleifrei;26.10.2022;1,770 sFr;1,740 sFr;1
"BP

Winterthurerstr. 5, 8610 Uster";Bleifrei;22.12.2021;1,770 sFr;1,900 sFr;1
"Piccadilly

Viale dei Faggi, 6900 Lugano";Bleifrei;03.04.2013;1,770 sFr;;1
"Vögtlin Meyer AG

Sandgasse 23, 5734 Reinach AG";Bleifrei;04.12.2022;1,770 sFr;1,760 sFr;1
"Vögtlin Meyer AG

Beinwilerstr. 2, 5734 Reinach AG";Bleifrei;04.12.2022;1,770 sFr;1,760 sFr;1
"Coop Pronto

Badenerstr. 2 , 5620 Bremgarten AG";Bleifrei;08.11.2021;1,770 sFr;1,860 sFr;1
"Shell

Zugerstr. 7, 6340 Sihlbrugg";Bleifrei;19.12.2022;1,770 sFr;1,770 sFr;1
"Ruedi Rüssel

Wintherturerstrasse 451, 8051 Zürich";Bleifrei;02.05.2013;1,770 sFr;;1
"Avia

Weidstr. 1, 9535 Wilen b. Wil";Bleifrei;22.09.2013;1,770 sFr;;1
"Shell

A2, 6503 Bellinzona";Bleifrei;16.06.2020;1,770 sFr;2,270 sFr;1
"Garage Jörg AG

Ziegelbrückstr. 22, 8872 Weesen";Bleifrei;07.12.2022;1,770 sFr;1,760 sFr;1
"Marken-Benzin

Bahnhofstraße 1A, 8862 Schübelbach";Bleifrei;04.12.2022;1,770 sFr;1,760 sFr;1
"Ruedi Rüssel

Ueberlandstr. 23, 8340 Hinwil";Bleifrei;10.12.2022;1,770 sFr;1,770 sFr;1
"Coop

Brunnenstr. 10, 8604 Volketswil";Bleifrei;22.12.2021;1,770 sFr;1,900 sFr;1
"Ruedi Rüssel

Bahnhofstr. 121, 6423 Seewen SZ";Bleifrei;27.11.2022;1,770 sFr;1,760 sFr;1
"Ruedi Rüssel

Thorenbergstr. 25, 6014 Littau";Bleifrei;27.11.2022;1,770 sFr;1,760 sFr;1
"Shell

Binningerstrasse 91, 4123 Allschwil";Bleifrei;14.07.2013;1,770 sFr;;1
"Vögtlin-Meyer

Hauptstrasse 149, 5326 Schwaderloch";Bleifrei;19.02.2022;1,770 sFr;1,840 sFr;1
"Coop

Lindenstr. 1, 8604 Volketswil";Bleifrei;22.12.2021;1,770 sFr;1,900 sFr;1
"Elite Garage Arbon AG

Romanshornerstr. 58, 9320 Arbon";Bleifrei;04.10.2021;1,770 sFr;1,920 sFr;1
"Felber AG

Oberurnerstr. 2, 8752 Näfels";Bleifrei;19.12.2022;1,770 sFr;1,770 sFr;1
"Auto Wagner

Stansstaderstrasse 98, 6370 Stans";Bleifrei;27.11.2022;1,770 sFr;1,760 sFr;1
"Eni

Via Canton Lucerna, 6760 Faido";Bleifrei;16.01.2022;1,770 sFr;1,900 sFr;1
"oeltrans

Grabenstr. 6, 3600 Thun";Bleifrei;30.10.2021;1,770 sFr;1,860 sFr;1
"Reto Kalberer

Schulstrasse 2, 8890 Flums";Bleifrei;17.12.2022;1,770 sFr;1,770 sFr;1
"Landi Marthalen

Austrasse 24, 8462 Rheinau";Bleifrei;09.05.2014;1,770 sFr;;1
"Müller Martin Garage AG 

Hauptstr. 52, 8867 Niederurnen";Bleifrei;04.12.2022;1,770 sFr;1,760 sFr;1
"Shell

Wohlerstr. 18, 5620 Bremgarten AG";Bleifrei;08.11.2021;1,770 sFr;1,860 sFr;1
"MINI PRIX

Rue du Lac 133, 1815 Clarens";Bleifrei;02.09.2014;1,770 sFr;;1
"Ruedi Rüssel

Zeughausstr. 15, 8888 Heiligkreuz (Mels)";Bleifrei;15.12.2022;1,770 sFr;1,770 sFr;1
"Garage Adam Touring

Rte du Collet 8, 1800 Vevey";Bleifrei;25.07.2014;1,770 sFr;;1
"Migrol-Tankstelle

Seetalstrasse 5, 5706 Boniswil";Bleifrei;04.12.2022;1,765 sFr;1,755 sFr;1
"Niederberger AG

Roosstr. 20, 8832 Wollerau";Bleifrei;14.12.2022;1,765 sFr;1,765 sFr;1
"Zünd MobilCenter AG

Rorschacherstr. 24, 9450 Altstätten SG";Bleifrei;04.10.2021;1,760 sFr;1,910 sFr;1
"BP

Rorschacherstr. 132, 9450 Lüchingen";Bleifrei;04.10.2021;1,760 sFr;1,910 sFr;1
"Avia

Hauptstr. 65, 9436 Balgach";Bleifrei;04.10.2021;1,760 sFr;1,910 sFr;1
"Coop-Pronto

Rothenburgstrasse 24, 6020 Emmenbrücke";Bleifrei;10.12.2022;1,760 sFr;1,760 sFr;1
"Coop-Pronto

Hauptstrasse 14, 5737 Menziken";Bleifrei;04.12.2022;1,760 sFr;1,750 sFr;1
"Ruedi Rüssel

Aarauerstr. 11, 5734 Reinach AG";Bleifrei;04.12.2022;1,760 sFr;1,750 sFr;1
"Basch AG

Frohburgstr. 1 , 5610 Wohlen AG";Bleifrei;14.12.2022;1,760 sFr;1,760 sFr;1
"Landi

Werkstr. 15, 8222 Beringen";Bleifrei;24.09.2011;1,760 sFr;;1
"Migrol

Zollstr. 100, 8219 Trasadingen";Bleifrei;15.12.2022;1,760 sFr;1,760 sFr;1
"Schillig AG

 Feldmoosstr. 12, 8853 Lachen SZ";Bleifrei;14.12.2022;1,760 sFr;1,760 sFr;1
"Tamoil

Route du Manege 62, 1950 Sion";Bleifrei;28.12.2013;1,760 sFr;;1
"Garage Elsa

Heinrichstr. 210, 8000 Zürich";Bleifrei;15.11.2021;1,760 sFr;1,850 sFr;1
"Ruedi Rüssel

Tunaustr. 24, 5734 Reinach AG";Bleifrei;04.12.2022;1,760 sFr;1,750 sFr;1
"Keller Automobile AG

Loretto, 9108 Gonten";Bleifrei;09.07.2014;1,760 sFr;;1
"Zentralgarage

Bahnhofstr. 43, 6440 Brunnen";Bleifrei;14.12.2022;1,760 sFr;1,760 sFr;1
"Scheidweg Garage AG 

Gontenstr. 1, 9050 Appenzell";Bleifrei;09.07.2014;1,760 sFr;;1
"Avia

Sammelplatz 14, 9050 Appenzell";Bleifrei;04.10.2021;1,760 sFr;1,910 sFr;1
"Fässler Sepp AG

Feldstr. , 9050 Appenzell";Bleifrei;04.10.2021;1,760 sFr;1,910 sFr;1
"MiniPrix

Av. Louis-Casaï 34, 1216 Cointrin";Bleifrei;19.12.2022;1,760 sFr;1,760 sFr;1
"Avia

Linth-Escherstr. 19a, 8865 Bilten";Bleifrei;15.12.2022;1,760 sFr;1,760 sFr;1
"Shell

Zürcherstr. 291, 8500 Frauenfeld";Bleifrei;04.10.2021;1,760 sFr;1,910 sFr;1
"Socar

Landstr. 15, 5417 Untersiggenthal";Bleifrei;10.12.2022;1,760 sFr;1,760 sFr;1
"Agrola

Wilen 2, 8494 Bauma";Bleifrei;04.10.2021;1,760 sFr;1,910 sFr;1
"Avia

Im Schwendi, 8494 Bauma";Bleifrei;04.10.2021;1,760 sFr;1,910 sFr;1
"Ruedi Rüssel

Hauptstr. 9, 5212 Hausen AG";Bleifrei;10.12.2022;1,760 sFr;1,760 sFr;1
"Eni

Nucleo Rodi, 6772 Rodi-Fiesso";Bleifrei;16.01.2022;1,760 sFr;1,890 sFr;1
"Coop Pronto

Industriestr. 23, 5303 Würenlingen";Bleifrei;15.07.2013;1,760 sFr;;1
"Ueli Fäh

Pumpwerkstrasse 25, 8105 Regensdorf";Bleifrei;21.10.2013;1,760 sFr;;1
"Wyna Garage AG

Hauptstr. 15, 5737 Menziken";Bleifrei;04.12.2022;1,760 sFr;1,750 sFr;1
"Landi TopShop

Hauptstr., 9056 Gais";Bleifrei;04.10.2021;1,760 sFr;1,910 sFr;1
"Avia

Zürichstr. 5, 8500 Frauenfeld";Bleifrei;04.10.2021;1,760 sFr;1,910 sFr;1
"Garage du Chêne

rue Chêne 32, 1315 La Sarraz";Bleifrei;29.08.2021;1,760 sFr;1,930 sFr;1
"BP

Gasterstr. , 8723 Rufi";Bleifrei;14.12.2022;1,760 sFr;1,760 sFr;1
"Eni

Via Brüga, 6814 Lamone";Bleifrei;11.10.2021;1,760 sFr;1,910 sFr;1
"Migrol-Tankstelle

Luzernerstrasse 2, 6215 Beromünster";Bleifrei;04.12.2022;1,760 sFr;1,750 sFr;1
"LANDI Wil ZH

Bahnhofstrasse, 8196 Wil ZH";Bleifrei;22.09.2011;1,760 sFr;;1
"Agrola

Adetswilerstr. 16, 8344 Bäretswil";Bleifrei;31.08.2014;1,759 sFr;;1
"Auto-Center Benno Müller AG

Gotthardstr. 15, 6438 Ibach";Bleifrei;27.11.2022;1,759 sFr;1,749 sFr;1
"Avia Shop Schaffhausen

Hochstr. 122, 8200 Schaffhausen";Bleifrei;26.09.2011;1,759 sFr;;1
"Vöglin Meyer

Zürcher. 72, 8604 Volketswil";Bleifrei;22.12.2021;1,755 sFr;1,885 sFr;1
"Altmann Garage

Junkerstr. 94, 8238 Büsingen";Bleifrei;24.09.2011;1,755 sFr;;1
"Agip

Thunstr. 25, 3700 Spiez";Bleifrei;25.07.2014;1,750 sFr;;1
"garage Etoile

rte de Cossonay 101, 1020 Renens VD";Bleifrei;30.08.2021;1,750 sFr;1,920 sFr;1
"Migrol Tankstelle

Römerstr. 16, 2555 Brügg BE";Bleifrei;03.12.2022;1,750 sFr;1,740 sFr;1
"BP

Piano Corzonesco, 6722 Corzoneso";Bleifrei;16.01.2012;1,750 sFr;;1
"MINI PRIX Garage Combrement

Route du Vully 27, 1543 Grandcour";Bleifrei;23.06.2014;1,750 sFr;;1
"Socar

Tösstalstr. 209, 8405 Winterthur";Bleifrei;04.10.2021;1,750 sFr;1,900 sFr;1
"Gebr. Knecht AG

Hauserstrasse 65, 5210 Windisch";Bleifrei;20.12.2022;1,750 sFr;1,750 sFr;1
"Avia

St. Gallerstr. 106, 8404 Winterthur";Bleifrei;04.10.2021;1,750 sFr;1,900 sFr;1
"Jakob Steinmann GmbH

Mühle 4, 8752 Näfels";Bleifrei;19.12.2022;1,750 sFr;1,750 sFr;1
"Socar

Landstr., 8754 Netstal";Bleifrei;19.12.2022;1,750 sFr;1,750 sFr;1
"Coop Pronto

Grosszaun 1, 8754 Netstal";Bleifrei;19.12.2022;1,750 sFr;1,750 sFr;1
"Josef Huber AG

Neuenkirchstr., 6020 Emmenbrücke";Bleifrei;10.12.2022;1,750 sFr;1,750 sFr;1
"HUGO UNOLD AG

Hauptstr. 153, 8762 Schwanden GL";Bleifrei;11.12.2022;1,750 sFr;1,750 sFr;1
